名称,住所,メモ
雲の上のギャラリー,高知県高岡郡梼原町太郎川3799-3,8/14見学。9:00-17:00 / TEL 0889-65-1187（ゆすはら雲の上観光協会）
雲の上の図書館,高知県高岡郡梼原町梼原1212-2,8/14見学。9:00-20:00（火曜・毎月最終金曜休館）/ TEL 0889-65-1900
まちの駅ゆすはら,高知県高岡郡梼原町梼原1996-1,8/14見学。8:30-18:00 / TEL 0889-65-1117
梼原町総合庁舎,高知県高岡郡梼原町梼原1444-1,8/14外観見学（外壁改修工事中の可能性あり）/ TEL 0889-65-1111
柏島ビーチ,高知県幡多郡大月町柏島,8/15。透明度抜群の海。シュノーケリングにおすすめ
牧野植物園・牧野富太郎記念館,高知県高知市五台山4200-6,8/16 9:00訪問。9:00-17:00（最終入園16:30）/ TEL 088-882-2601
竹林寺,高知県高知市五台山3577,8/16 10:30頃。境内参拝8:00-17:00／庭園・宝物館8:30-17:00 / TEL 088-882-3085
坂本龍馬記念館,高知県高知市浦戸城山830,8/16 12:00頃。9:00-17:00（最終入館16:30）/ TEL 088-841-0001
高知城,高知県高知市丸ノ内1-2-1,8/16 13:30頃。9:00-17:00（最終入城16:30）/ TEL 088-824-5701
オーテピア高知図書館,高知県高知市追手筋2-1-1,8/16 15:00頃。日曜9:00-18:00 / TEL 088-823-4946
